OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
4157;6_145;20190912;145;INTERCAMBIADOR CIUDAD LINEAL;1199;79;28027;15;A;445938;4476794;4, 77, 104, 109, 113
4158;6_1621;20190912;1621;ARTURO SORIA-MARQUESA DE TORRECILLA;236;79;28027;15;A;445933;4476837;48, 70
4159;6_1332;20190912;1332;HERMANOS GARCIA NOBLEJAS-ALCALA;5458;79;28037;15;A;446016;4476682;38, 48, 70, 105
4160;6_5639;20190912;5639;VIA LUSITANA-BRAGANZA;3987;79;28025;11;A;438931;4470784;116
4161;6_2884;20190912;2884;AV.BURGOS Nº 16;145;79;28036;5;A;442816;4480914;129, 150
4162;6_2442;20190912;2442;CTRA.CCHEL.A ARAVACA-COLONIA JARDIN;5325;79;28024;10;A;434388;4472315;65, H
4163;6_3127;20190912;3127;LA BAÑEZA-AV.GANAPANES;1785;79;28029;8;A;439467;4481043;126, 147
4164;6_3530;20190912;3530;LA BAÑEZA-PONFERRADA;1507;79;28029;8;A;439615;4481078;42, 126, 147
4165;6_2971;20190912;2971;LA BAÑEZA-Cº VEREDA GANAPANES;1509;79;28035;8;A;439379;4481021;42, 132, 137
4166;6_3455;20190912;3455;CAMPO DE CALATRAVA-ROCINANTE;2685;79;28034;8;A;441419;4483739;66, 137
4167;6_1826;20190912;1826;RISCOS DE POLANCO-VALLE P.LLANOS;1554;79;28035;8;A;438868;4482074;49
4168;6_4025;20190912;4025;VALLE PINARES LLANOS-RISCOS DE POLANCO;5207;79;28035;8;A;438904;4482099;N21
4169;6_3453;20190912;3453;BRAILLE-MOLINS DE REY;2689;79;28034;8;A;441357;4483214;66, 137
4170;6_3448;20190912;3448;CAMPO DE CALATRAVA-ROCINANTE;2684;79;28034;8;A;441397;4483753;66, 137
4171;6_2483;20190912;2483;AEROPUERTO T3;4707;79;28042;21;A;451684;4480316;101, 200
4172;6_3308;20190912;3308;AEROPUERTO T2;3542;79;28042;21;A;451795;4480226;101, 200, 203, N27
4173;6_3118;20190912;3118;ALCALDE LOPEZ CASERO-ALCALA;761;79;28027;15;A;444505;4476178;146
4174;6_3113;20190912;3113;ALCALDE LOPEZ CASERO-ALCALA;760;79;28027;15;A;444519;4476182;146
4175;6_2608;20190912;2608;ALCALA-ALCALDE LOPEZ CASERO;1092;79;28027;15;A;444584;4476154;106, N7
4176;6_1352;20190912;1352;ALCALA Nº 261;759;79;28027;15;A;444367;4476118;38, 106, 146, N5, N7
4177;6_2915;20190912;2915;AVDA.BURGOS-FCO.PI Y MARGALL;3261;79;28050;16;A;443547;4483037;173, 174, 176
4178;6_5283;20190912;5283;AV.DE LA PESETA-CORONA;2965;79;28054;11;A;436312;4468443;35, 118, 155, N16
4179;6_1585;20190912;1585;BELZUNEGUI-REAL MADRID;2451;79;28025;11;A;437373;4469996;47, 118, N16
4180;6_1487;20190912;1487;AV.POBLADOS-ALISEDA;2453;79;28025;11;A;437156;4469679;47, 118, 121, 131, 155, N16
4181;6_5197;20190912;5197;AV.DE LA PESETA-AV.CARABANCHEL ALTO;649;79;28054;11;A;436053;4468466;35, 118, 155, E1
4182;6_1581;20190912;1581;ANTONIA RODRIGUEZ SACRISTAN-GUAYABA;5059;79;28044;11;A;436701;4469610;108, 118, N16
4183;6_5968;20190912;5968;AVDA.DE LA PESETA-AVDA.DE CARABANCHEL ALTO;4219;79;28054;11;A;436155;4468417;N16
4184;6_5284;20190912;5284;AV.DE LA PESETA-MARAVEDI;2964;79;28054;11;A;436561;4468511;35, 118, 155, E1, N16
4185;6_5909;20190912;5909;AVENIDA DE LA PESETA-LOS MORALES;4180;79;28054;11;A;435830;4468483;118
4186;6_1438;20190912;1438;BRAVO MURILLO-ANIBAL;1533;79;28020;6;A;441314;4479802;49, 66, 124, N22, N23
4187;6_5839;20190912;5839;INTERCAMBIADOR PRINCIPE PIO;3907;79;28008;9;A;438926;4475037;33
4188;6_590;20190912;590;CEA BERMUDEZ-GAZTAMBIDE;4541;79;28003;7;A;439404;4476968;12
